CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;x
tucuman;Dry Forest Hills;;;;;;;;x
pampas;Pampas;;;;;;;;;;;;x
steppehills;Steppe Hills;;;;;;;;;;;;x
montane_steppe;Dry Montane Grassland;;;;;;;;;;;;x
savannahills;Savanna Hills;;;;;;;;;;;;x
dryhills;Semidesert Hills;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
samarkand;Semidesert Hills;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
adakaleh;River Island;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
jungle_farmland;Jungle Farmlands;;;;;;;;x
capecoast;Jungle Farmlands;;;;;;;;x
grandbassam;Jungle Farmlands;;;;;;;;x
hue;Jungle Farmlands;;;;;;;;x
monrovia;Jungle Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
forest_farmland;Forested Farmlands;;;;;;;;x
vilnius;Forested Farmlands;;;;;;;;x
stpetersburg;Forested Farmlands;;;;;;;;x
moscow;Forested Farmlands;;;;;;;;x
essen;Forested Farmlands;;;;;;;;x
dortmund;Forested Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
suez;Floodplain Farmlands;;;;;;;;x
minsk;Floodplain Farmlands;;;;;;;;x
floodplain_farmland;Floodplain Farmlands;;;;;;;;x
turin;Floodplain Farmlands;;;;;;;;x
lahore;Floodplain Farmlands;;;;;;;;x
calcutta;Floodplain Farmlands;;;;;;;;x
karachi;Floodplain Farmlands;;;;;;;;x
baghdad;Floodplain Farmlands;;;;;;;;x
nanjing;Floodplain Farmlands;;;;;;;;x
constanta;Floodplain Farmlands;;;;;;;;x
mosul;Floodplain Farmlands;;;;;;;;x
basra;Floodplain Farmlands;;;;;;;;x
alexandria;Floodplain Farmlands;;;;;;;;x
neworleans;Floodplain Farmlands;;;;;;;;x
buenosaires;Pampas;;;;;;;;x
bukarest;Floodplain Farmlands;;;;;;;;x
timbuktu;Floodplain Farmlands;;;;;;;;x
saigon;Floodplain Farmlands;;;;;;;;x
bangkok;Floodplain Farmlands;;;;;;;;x
agra;Floodplain Farmlands;;;;;;;;x
sokoto;Floodplain Farmlands;;;;;;;;x
khiva;Floodplain Farmlands;;;;;;;;x
bukhara;Floodplain Farmlands;;;;;;;;x
milan;Floodplain Farmlands;;;;;;;;x
venice;Floodplain Farmlands;;;;;;;;x
konigsberg;Floodplain Farmlands;;;;;;;;x
kiev;Floodplain Farmlands;;;;;;;;x
lutsk;Floodplain Farmlands;;;;;;;;x
novocherkassk;Hilly Farmlands;;;;;;;;x
rostov;Floodplain Farmlands;;;;;;;;x
antwerp;Floodplain Farmlands;;;;;;;;x
rotterdam;Floodplain Farmlands;;;;;;;;x
amsterdam;Floodplain Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
kamianets;Forest Hills;;;;;;;;x
tirana;Forest Hills;;;;;;;;x
sofia;Forest Hills;;;;;;;;x
sevastopol;Montane Forest;;;;;;;;x
goteborg;Forest Hills;;;;;;;;x
auckland;Forest Hills;;;;;;;;x
vladivostok;Forest Hills;;;;;;;;x
oregoncity;Forest Hills;;;;;;;;x
bilbao;Forest Hills;;;;;;;;x
toulon;Forest Hills;;;;;;;;x
chemnitz;Forested Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
poltava;Farmlands;;;;;;;;x
salonika;Farmlands;;;;;;;;x
stpetersburg;Farmlands;;;;;;;;x
vienna;Farmlands;;;;;;;;x
copenhagen;Forested Farmlands;;;;;;;;x
cologne;Farmlands;;;;;;;;x
barcelona;Forested Farmlands;;;;;;;;x
edo_japan;Farmlands;;;;;;;;x
hanseong;Farmlands;;;;;;;;x
kiel;Floodplain Farmlands;;;;;;;;x
helsinki;Forested Farmlands;;;;;;;;x
oslo;Forested Farmlands;;;;;;;;x
stockholm;Forested Farmlands;;;;;;;;x
stettin;Forested Farmlands;;;;;;;;x
berlin;Forested Farmlands;;;;;;;;x
dresden;Forested Farmlands;;;;;;;;x
leipzig;Forested Farmlands;;;;;;;;x
hanover;Forested Farmlands;;;;;;;;x
braunschweig;Forested Farmlands;;;;;;;;x
luxemburg;Forested Farmlands;;;;;;;;x
liege;Forested Farmlands;;;;;;;;x
namur;Forested Farmlands;;;;;;;;x
nuremberg;Hilly Farmlands;;;;;;;;x
breslau;Forested Farmlands;;;;;;;;x
ottawa;Forested Farmlands;;;;;;;;x
montreal;Forested Farmlands;;;;;;;;x
toronto;Forested Farmlands;;;;;;;;x
strasburg;Forested Farmlands;;;;;;;;x
philadelphia;Forested Farmlands;;;;;;;;x
boston;Forested Farmlands;;;;;;;;x
richmond;Forested Farmlands;;;;;;;;x
montevideo;Pampas;;;;;;;;x
saopaulo;Forested Farmlands;;;;;;;;x
pondicherry;Jungle Farmlands;;;;;;;;x
madras;Farmlands;;;;;;;;x
batavia;Jungle Farmlands;;;;;;;;x
manila;Jungle Farmlands;;;;;;;;x
ningbo;Floodplain Farmlands;;;;;;;;x
qingdao;Farmlands;;;;;;;;x
weihaiwei;Farmlands;;;;;;;;x
yokohama;Farmlands;;;;;;;;x
osaka;Farmlands;;;;;;;;x
pyongyang;Farmlands;;;;;;;;x
pusan;Farmlands;;;;;;;;x
kharkov;Farmlands;;;;;;;;x
larochelle;Forested Farmlands;;;;;;;;x
bordeaux;Forested Farmlands;;;;;;;;x
marseille;Forested Farmlands;;;;;;;;x
zadar;Hilly Farmlands;;;;;;;;x
pozan;Forested Farmlands;;;;;;;;x
nagasaki;Farmlands;;;;;;;;x
kassel;Farmlands;;;;;;;;x
trieste;Urban;;;;;;;;x
coruna;Hilly Farmlands;;;;;;;;x
bahia;Farmlands;;;;;;;;x
surat;Farmlands ;;;;;;;;x
varna;Farmlands ;;;;;;;;x
valparaiso;Farmlands;;;;;;;;x
meridayucatan;Jungle Farmlands;;;;;;;;x
sansalvador;Jungle Farmlands;;;;;;;;x
florence;Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
paris;Urban;;;;;;;;x
cairo;Urban;;;;;;;;x
sanfrancisco;Urban;;;;;;;;x
shanghai;Urban;;;;;;;;x
riga;Urban;;;;;;;;x
dc;Urban;;;;;;;;x
hamburg;Urban;;;;;;;;x
krakow;Urban;;;;;;;;x
frankfurt;Urban;;;;;;;;x
oldtianjin;Urban;;;;;;;;x
istanbul;Urban;;;;;;;;x
lubeck;Urban;;;;;;;;x
singapore;Urban;;;;;;;;x
delhi;Urban;;;;;;;;x
mexicocity;Urban;;;;;;;;x
vaticancity;Urban;;;;;;;;x
london;Urban;;;;;;;;x
newyork;Urban;;;;;;;;x
fort_william;Urban;;;;;;;;x
veracruz;Urban;;;;;;;;x
beirut;Urban;;;;;;;;x
kaunas;Urban;;;;;;;;x
danzig;Urban;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
tblisi;Montane Farmlands;;;;;;;;x
erivan;Montane Farmlands;;;;;;;;x
andorra;Montane Farmlands;;;;;;;;x
sanmarino;Montane Farmlands;;;;;;;;x
caracas;Montane Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x
santiago;Montane Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x
quito;Montane Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x
bogota;Montane Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x
lapaz;Montane Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x
lima;Montane Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x
cetinje;Montane Farmlands;;;;;;;;x
derbend;Montane Farmlands;;;;;;;;x
isfahan;Montane Farmlands ;;;;;;;;x
shiraz;Montane Farmlands ;;;;;;;;x
tabriz;Montane Farmlands;;;;;;;;x
kingstonjamaica;Montane Farmlands;;;;;;;;x
katmandu;Montane Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
hyderabad;Dry Forest Hills;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
kerch;Grassland Hills;;;;;;;;x
lyon;Grassland Hills;;;;;;;;x
stuttgart;Grassland Hills;;;;;;;;x
colombo;Savanna Hills;;;;;;;;x
capetown;Hilly Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
hainan;Montane Jungle;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
tashkent;Steppe Hills;;;;;;;;x
tunis;Steppe Hills;;;;;;;;x
xian;Semidesert Hills;;;;;;;;x
gonder;Montane Farmlands;;;;;;;;x
catania;Steppe Hills;;;;;;;;x
qom;Semidesert Hills ;;;;;;;;x
herat;Semidesert Hills ;;;;;;;;x
kandahar;Desert Hills ;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
plymouth;Grassland Hills;;;;;;;;x
kokand;Grassland Hills;;;;;;;;x
ava;Grassland Hills ;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
grodno;Forested Farmlands;;;;;;;;x
chicago;Grassland;;;;;;;;x
southampton;Grassland;;;;;;;;x
melbourne;Forested Farmlands;;;;;;;;x
easterisland;Grassland;;;;;;;;x
dubrovnik;Grassland;;;;;;;;x
asuncion;Savanna ;;;;;;;;x
cluj;Grassland;;;;;;;;x
iasi;Hilly Farmlands;;;;;;;;x
adana;Hilly Farmlands;;;;;;;;x
oaxaca;Dry Montane Forest;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
baku;Steppe;;;;;;;;x
seville;Steppe;;;;;;;;x
austin;Steppe;;;;;;;;x
jaipur;Steppe;;;;;;;;x
Baku;Steppe;;;;;;;;x
monterrey;Steppe;;;;;;;;x
algiers;Steppe Hills;;;;;;;;x
tangier;Urban;;;;;;;;x
ahmedabad;Steppe ;;;;;;;;x
turkestan;Steppe ;;;;;;;;x
cetatea_alba;Steppe ;;;;;;;;x
tripoli;Steppe ;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
karlsruhe;Forest Hills;;;;;;;;x
pittsburgh;Forest Hills;;;;;;;;x
sydney;Forested Farmlands;;;;;;;;x
vancouver;Forest;;;;;;;;x
halifax;Forest;;;;;;;;x
victoriaisland;Forest;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
fez;Dry Montane Forest ;;;;;;;;x
chania;Dry Montane Forest;;;;;;;;x
granada;Dry Montane Forest ;;;;;;;;x
nishapur;Semidesert Mountains;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
hawaii;Montane Forest;;;;;;;;x
irkutsk;Montane Forest ;;;;;;;;x
linz;Montane Forest ;;;;;;;;x
atlanta;Montane Forest ;;;;;;;;x
cusco;Montane Forest;;;;;;;;x
sochi;Montane Forest;;;;;;;;x
batumi;Montane Forest;;;;;;;;x
sinope;Montane Forest;;;;;;;;x
iraklion;Dry Montane Forest;;;;;;;;x
trabzon;Montane Forest;;;;;;;;x
thimpu;Montane Forest;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
valenciavenezuela;Hilly Farmlands;;;;;;;;x
munich;Hilly Farmlands;;;;;;;;x
naples;Hilly Farmlands;;;;;;;;x
edinburgh;Hilly Farmlands;;;;;;;;x
zagreb;Forested Farmlands;;;;;;;;x
manchester;Hilly Farmlands;;;;;;;;x
cardiff;Hilly Farmlands;;;;;;;;x
glasgow;Hilly Farmlands;;;;;;;;x
sheffield;Hilly Farmlands;;;;;;;;x
leeds;Hilly Farmlands;;;;;;;;x
bristol;Hilly Farmlands;;;;;;;;x
belfast;Hilly Farmlands;;;;;;;;x
rio;Hilly Farmlands;;;;;;;;x
kyoto;Hilly Farmlands;;;;;;;;x
ljubljana;Hilly Farmlands;;;;;;;;x
bratislava;Hilly Farmlands;;;;;;;;x
florence;Hilly Farmlands;;;;;;;;x
genoa;Hilly Farmlands;;;;;;;;x
sarajevo;Hilly Farmlands;;;;;;;;x
hanoi;Jungle Farmlands;;;;;;;;x
plymouth;Hilly Farmlands;;;;;;;;x
santodomingodm;Hilly Farmlands;;;;;;;;x
sanjuanpr;Hilly Farmlands;;;;;;;;x
palermo;Hilly Farmlands;;;;;;;;x
dublin;Hilly Farmlands;;;;;;;;x
smyrna;Hilly Farmlands;;;;;;;;x
portoalegre;Hilly Farmlands;;;;;;;;x
madrid;Hilly Farmlands;;;;;;;;x
belgrade;Hilly Farmlands;;;;;;;;x
pola;Hilly Farmlands;;;;;;;;x
losangeles;Hilly Farmlands;;;;;;;;x
tehran;Hilly Farmlands;;;;;;;;x
fortross;Hilly Farmlands;;;;;;;;x
athens;Hilly Farmlands;;;;;;;;x
valencia;Hilly Farmlands;;;;;;;;x
havana;Hilly Farmlands;;;;;;;;x
recife;Hilly Farmlands;;;;;;;;x
birmingham;Hilly Farmlands;;;;;;;;x
nuremberg;Hilly Farmlands;;;;;;;;x
prague;Hilly Farmlands;;;;;;;;x
rome;Hilly Farmlands;;;;;;;;x
guadalajara;Hilly Farmlands;;;;;;;;x
farmlandhills;Hilly Farmlands;;;;;;;;x
azores;Hilly Farmlands;;;;;;;;x
simla;Hilly Farmlands;;;;;;;;x
jerusalem;Hilly Farmlands;;;;;;;;x
fiume;Urban;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
novoarkhangelesk;Taiga;;;;;;;;x
stjohn;Taiga;;;;;;;;x
arkhangelsk;Taiga;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
isleofman;Island;;;;;;;;x
curacao;Island;;;;;;;;x
amapala;Island;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
bushire;Semidesert ;;;;;;;;x
bandarabbas;Semidesert ;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
aqaba;Desert Hills;;;;;;;;x
mecca;Desert Hills;;;;;;;;x
kashgar;Desert Hills;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
mogadishu;Savanna ;;;;;;;;x
mombasa;Savanna ;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
tananarive;Montane Farmlands ;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
stlouis;Hilly Farmlands;;;;;;;;x
damascus;Dry Forest Hills;;;;;;;;x
ankara;Steppe Hills;;;;;;;;x
nicosia;Steppe Hills;;;;;;;;x
tenerife;Dry Forest Hills;;;;;;;;x
aleppo;Hilly Farmlands;;;;;;;;x
antioch;Dry Montane Forest;;;;;;;;x
konya;Steppe Hills;;;;;;;;x
karachi;Floodplain Farmlands;;;;;;;;x
sanaa;Montane Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
andorra;Montane Grassland;;;;;;;;x
kermanshah;Dry Montane Forest;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
kodiakisland;Montane Taiga;;;;;;;;x
montane_boreal;Montane Taiga;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
muscat;Semidesert Mountains;;;;;;;;x
kabul;Semidesert Mountains;;;;;;;;x
kalat;Montane Desert;;;;;;;;x
aden;Semidesert Hills;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
potosi;High Plateau;;;;;;;;x
lhasa;Montane Farmlands;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
montane_farmlands;Montane Farmlands;;;;;;;;x
montane_desert;Montane Desert;;;;;;;;x
montane_dry;Semidesert Mountains;;;;;;;;x
montane_jungle;Montane Jungle;;;;;;;;x
altiplano;High Plateau;;;;;;;;x
deserthills;Desert Hills;;;;;;;;x
dryforest;Dry Forest;;;;;;;;x
dry_forest_hills;Dry Forest Hills;;;;;;;;x  
dry_forest_mountains;Dry Montane Forest;;;;;;;;x  
foresthills;Forest Hills;;;;;;;;x  
junglehills;Jungle Hills;;;;;;;;x